Date,Dividends,Stock Splits
2005-08-11,0.039,0.0
2005-09-13,0.039,0.0
2005-10-12,0.039,0.0
2005-11-10,0.039,0.0
2005-12-13,0.063,0.0
2006-01-11,0.039,0.0
2006-02-13,0.039,0.0
2006-03-13,0.039,0.0
2006-04-11,0.039,0.0
2006-05-11,0.039,0.0
2006-06-13,0.039,0.0
2006-07-12,0.039,0.0
2006-08-11,0.039,0.0
2006-09-13,0.039,0.0
2006-10-11,0.039,0.0
2006-11-13,0.039,0.0
2006-12-13,0.068,0.0
2007-01-10,0.039,0.0
2007-02-13,0.039,0.0
2007-03-13,0.039,0.0
2007-04-11,0.039,0.0
2007-05-11,0.039,0.0
2007-06-13,0.039,0.0
2007-07-11,0.039,0.0
2007-08-13,0.039,0.0
2007-09-12,0.039,0.0
2007-10-11,0.039,0.0
2007-11-13,0.039,0.0
2007-12-12,0.069,0.0
2008-01-11,0.039,0.0
2008-02-13,0.039,0.0
2008-03-12,0.039,0.0
2008-04-11,0.039,0.0
2008-05-13,0.039,0.0
2008-06-11,0.039,0.0
2008-07-11,0.039,0.0
2008-08-13,0.039,0.0
2008-09-11,0.039,0.0
2008-10-10,0.039,0.0
2008-11-12,0.039,0.0
2008-12-11,0.041,0.0
2009-01-13,0.039,0.0
2009-02-11,0.039,0.0
2009-03-11,0.039,0.0
2009-04-13,0.039,0.0
2009-05-13,0.039,0.0
2009-06-11,0.039,0.0
2009-07-13,0.039,0.0
2009-08-12,0.039,0.0
2009-09-11,0.039,0.0
2009-10-13,0.039,0.0
2009-11-10,0.039,0.0
2009-12-11,0.046,0.0
2010-01-13,0.039,0.0
2010-02-10,0.039,0.0
2010-03-11,0.039,0.0
2010-04-13,0.039,0.0
2010-05-12,0.039,0.0
2010-06-11,0.039,0.0
2010-07-13,0.039,0.0
2010-08-11,0.039,0.0
2010-09-13,0.039,0.0
2010-10-13,0.039,0.0
2010-11-10,0.039,0.0
2010-12-13,0.061,0.0
2011-01-12,0.039,0.0
2011-02-11,0.039,0.0
2011-03-11,0.039,0.0
2011-04-13,0.039,0.0
2011-05-11,0.039,0.0
2011-06-13,0.039,0.0
2011-07-13,0.039,0.0
2011-08-11,0.039,0.0
2011-09-13,0.039,0.0
2011-10-12,0.039,0.0
2011-11-10,0.039,0.0
2011-12-13,0.104,0.0
2012-01-11,0.039,0.0
2012-02-13,0.039,0.0
2012-03-13,0.039,0.0
2012-04-11,0.039,0.0
2012-05-11,0.039,0.0
2012-06-13,0.039,0.0
2012-07-11,0.039,0.0
2012-08-13,0.039,0.0
2012-09-12,0.037,0.0
2012-10-11,0.037,0.0
2012-11-13,0.037,0.0
2012-12-12,0.041,0.0
2013-01-11,0.037,0.0
2013-02-13,0.037,0.0
2013-03-13,0.037,0.0
2013-04-11,0.037,0.0
2013-05-13,0.037,0.0
2013-06-12,0.037,0.0
2013-07-11,0.037,0.0
2013-08-13,0.037,0.0
2013-09-11,0.037,0.0
2013-10-10,0.037,0.0
2013-11-13,0.037,0.0
2013-12-11,0.042,0.0
2014-01-13,0.037,0.0
2014-02-12,0.037,0.0
2014-03-12,0.036,0.0
2014-04-11,0.036,0.0
2014-05-13,0.036,0.0
2014-06-11,0.036,0.0
2014-07-11,0.036,0.0
2014-08-13,0.036,0.0
2014-09-11,0.035,0.0
2014-10-10,0.035,0.0
2014-11-12,0.035,0.0
2014-12-11,0.035,0.0
2015-01-13,0.035,0.0
2015-02-11,0.035,0.0
2015-03-11,0.035,0.0
2015-04-13,0.035,0.0
2015-05-13,0.035,0.0
2015-06-11,0.0325,0.0
2015-07-13,0.0325,0.0
2015-08-12,0.0325,0.0
2015-09-11,0.0325,0.0
2015-10-13,0.0325,0.0
2015-11-10,0.0325,0.0
2015-12-11,0.0019,0.0
2016-01-13,0.0325,0.0
2016-02-10,0.0325,0.0
2016-03-11,0.0325,0.0
2016-04-13,0.0325,0.0
2016-05-11,0.0325,0.0
2016-06-13,0.0325,0.0
2016-07-13,0.0325,0.0
2016-08-11,0.0325,0.0
2016-09-13,0.0325,0.0
2016-10-12,0.0325,0.0
2016-11-10,0.0325,0.0
2016-12-13,0.0022,0.0
2017-01-11,0.0325,0.0
2017-02-13,0.0325,0.0
2017-03-13,0.0325,0.0
2017-04-11,0.0325,0.0
2017-05-11,0.0325,0.0
2017-06-13,0.0325,0.0
2017-07-12,0.0325,0.0
2017-08-11,0.0325,0.0
2017-09-14,0.0325,0.0
2017-10-12,0.0325,0.0
2017-11-14,0.0325,0.0
2017-12-14,0.031,0.0
2018-01-11,0.031,0.0
2018-02-14,0.031,0.0
2018-03-14,0.031,0.0
2018-04-12,0.031,0.0
2018-05-14,0.031,0.0
2018-06-14,0.031,0.0
2018-07-12,0.031,0.0
2018-08-14,0.031,0.0
2018-09-13,0.031,0.0
2018-10-12,0.031,0.0
2018-11-14,0.031,0.0
2018-12-13,0.031,0.0
2019-01-14,0.031,0.0
2019-02-14,0.031,0.0
2019-03-14,0.031,0.0
2019-04-12,0.031,0.0
2019-05-14,0.031,0.0
2019-06-13,0.031,0.0
2019-07-12,0.031,0.0
2019-08-14,0.031,0.0
2019-09-12,0.031,0.0
2019-10-11,0.031,0.0
2019-11-14,0.031,0.0
2019-12-12,0.031,0.0
2020-01-14,0.031,0.0
2020-02-13,0.031,0.0
2020-03-12,0.031,0.0
2020-04-14,0.031,0.0
2020-05-14,0.031,0.0
2020-06-12,0.031,0.0
2020-07-14,0.031,0.0
2020-08-13,0.031,0.0
2020-09-14,0.031,0.0
2020-10-14,0.031,0.0
2020-11-12,0.031,0.0
2020-12-14,0.031,0.0
2021-01-14,0.031,0.0
2021-02-11,0.031,0.0
2021-03-12,0.031,0.0
2021-04-14,0.031,0.0
2021-05-13,0.031,0.0
2021-06-14,0.031,0.0
2021-07-14,0.028,0.0
2021-08-12,0.028,0.0
2021-09-14,0.028,0.0
2021-10-14,0.028,0.0
2021-11-12,0.028,0.0
2021-12-14,0.028,0.0
2022-01-13,0.028,0.0
2022-02-14,0.028,0.0
