Date,Dividends,Stock Splits
1998-08-19,0.45,0.0
1999-05-14,0.45,0.0
2000-05-30,0.45,0.0
2005-06-28,0.3,0.0
2005-09-22,0.3,0.0
2005-12-06,0.3,0.0
2006-03-03,0.375,0.0
2006-06-05,0.375,0.0
2006-09-05,0.375,0.0
2006-11-29,0.375,0.0
2007-02-28,0.975,0.0
2007-05-31,0.975,0.0
2007-08-31,0.975,0.0
2007-11-30,0.975,0.0
2008-03-03,1.125,0.0
2008-06-02,1.125,0.0
2008-09-02,1.125,0.0
2008-12-02,1.125,0.0
2009-02-20,0.564,0.0
2009-05-21,0.564,0.0
2009-08-21,0.564,0.0
2009-11-20,0.564,0.0
2010-02-19,0.564,0.0
2010-05-21,0.564,0.0
2010-08-20,0.564,0.0
2010-11-19,0.564,0.0
2011-02-17,0.564,0.0
2011-05-20,0.564,0.0
2011-08-19,0.564,0.0
2011-11-18,0.564,0.0
2012-02-16,0.564,0.0
2012-05-23,0.564,0.0
2012-08-20,0.564,0.0
2012-11-19,0.564,0.0
2013-05-10,0.6,0.0
2014-05-12,0.6,0.0
2014-10-02,0.0,14.0
2015-05-07,0.6,0.0
2017-05-22,0.0,0.3333333333333333
2018-05-17,0.1,0.0
2019-05-16,0.2,0.0
2021-06-10,0.3,0.0
