Date,Dividends,Stock Splits
1987-06-04,0.0675,0.0
1987-09-03,0.0675,0.0
1987-12-04,0.0675,0.0
1988-02-16,0.0,2.0
1988-03-02,0.0675,0.0
1988-06-06,0.0675,0.0
1988-09-02,0.07,0.0
1988-12-06,0.07,0.0
1989-03-03,0.075,0.0
1989-06-05,0.075,0.0
1989-09-01,0.085,0.0
1989-12-04,0.085,0.0
1990-03-05,0.09,0.0
1990-06-04,0.095,0.0
1990-09-10,0.095,0.0
1990-12-10,0.095,0.0
1991-03-04,0.095,0.0
1991-06-10,0.095,0.0
1991-09-09,0.095,0.0
1991-12-09,0.105,0.0
1992-03-09,0.105,0.0
1992-06-08,0.105,0.0
1992-09-04,0.105,0.0
1992-12-07,0.105,0.0
1993-03-08,0.115,0.0
1993-06-07,0.23,0.0
1993-09-03,0.115,0.0
1993-12-06,0.115,0.0
1994-03-07,0.115,0.0
1994-06-06,0.13,0.0
1994-09-02,0.135,0.0
1994-12-05,0.135,0.0
1995-03-06,0.145,0.0
1995-06-06,0.145,0.0
1995-09-06,0.145,0.0
1995-12-06,0.15,0.0
1996-03-06,0.15,0.0
1996-03-28,0.3,0.0
1996-06-12,0.155,0.0
1996-09-11,0.155,0.0
1996-12-11,0.16,0.0
1997-03-12,0.165,0.0
1997-06-11,0.165,0.0
1997-09-10,0.17,0.0
1997-12-10,0.175,0.0
1998-03-11,0.175,0.0
1998-03-30,0.0,2.0
1998-06-10,0.18,0.0
1998-09-09,0.19,0.0
1998-12-09,0.2,0.0
1999-03-10,0.2,0.0
1999-06-09,0.2,0.0
1999-09-08,0.21,0.0
1999-12-08,0.21,0.0
2000-03-08,0.21,0.0
2000-06-07,0.21,0.0
2000-09-06,0.21,0.0
2000-12-06,0.21,0.0
2001-03-07,0.22,0.0
2001-06-06,0.23,0.0
2001-09-12,0.23,0.0
2001-12-12,0.23,0.0
2002-03-06,0.23,0.0
2002-06-12,0.23,0.0
2002-09-11,0.24,0.0
2002-12-11,0.25,0.0
2003-03-12,0.25,0.0
2003-06-11,0.25,0.0
2003-09-10,0.25,0.0
2003-12-10,0.25,0.0
2004-03-10,0.25,0.0
2004-06-09,0.25,0.0
2004-09-08,0.26,0.0
2004-12-08,0.26,0.0
2005-03-09,0.26,0.0
2005-06-08,0.26,0.0
2005-09-07,0.26,0.0
2005-12-07,0.27,0.0
2006-03-08,0.27,0.0
2006-06-07,0.27,0.0
2006-09-06,0.27,0.0
2006-12-06,0.28,0.0
2007-03-07,0.28,0.0
2007-06-06,0.28,0.0
2007-09-12,0.28,0.0
2007-12-12,0.29,0.0
2008-03-12,0.29,0.0
2008-06-11,0.29,0.0
2008-09-10,0.29,0.0
2008-12-10,0.29,0.0
2009-03-11,0.29,0.0
2009-06-10,0.29,0.0
2009-09-09,0.29,0.0
2009-12-09,0.3,0.0
2010-03-10,0.3,0.0
2010-06-09,0.3,0.0
2010-09-08,0.3,0.0
2010-12-08,0.3,0.0
2011-03-09,0.3,0.0
2011-06-08,0.3,0.0
2011-09-07,0.3,0.0
2011-12-07,0.31,0.0
2012-03-07,0.31,0.0
2012-06-06,0.31,0.0
2012-09-12,0.31,0.0
2012-12-12,0.31,0.0
2013-03-06,0.31,0.0
2013-06-12,0.31,0.0
2013-09-11,0.31,0.0
2013-12-11,0.32,0.0
2014-03-12,0.32,0.0
2014-06-11,0.32,0.0
2014-09-10,0.32,0.0
2014-12-10,0.32,0.0
2015-03-11,0.32,0.0
2015-06-10,0.32,0.0
2015-09-09,0.32,0.0
2015-12-09,0.33,0.0
2016-03-09,0.33,0.0
2016-06-08,0.33,0.0
2016-09-07,0.33,0.0
2016-12-07,0.33,0.0
2017-03-08,0.33,0.0
2017-06-07,0.33,0.0
2017-09-07,0.33,0.0
2017-12-07,0.34,0.0
2018-03-08,0.34,0.0
2018-06-07,0.34,0.0
2018-09-13,0.34,0.0
2018-12-13,0.34,0.0
2019-03-07,0.34,0.0
2019-06-13,0.34,0.0
2019-09-12,0.34,0.0
2019-12-12,0.35,0.0
2020-03-12,0.35,0.0
2020-06-11,0.35,0.0
2020-09-10,0.35,0.0
2020-12-10,0.35,0.0
2021-03-11,0.35,0.0
2021-06-10,0.35,0.0
