Date,Dividends,Stock Splits
1985-12-27,0.3504,0.0
1986-03-21,0.3504,0.0
1986-05-16,0.0,2.0
1986-06-10,0.1752,0.0
1986-09-09,0.1752,0.0
1986-12-09,0.1752,0.0
1987-03-09,0.19,0.0
1987-06-09,0.19,0.0
1987-09-09,0.19,0.0
1987-12-09,0.19,0.0
1988-03-09,0.19,0.0
1988-06-09,0.19,0.0
1988-09-09,0.19,0.0
1988-12-09,0.19,0.0
1989-03-09,0.19,0.0
1989-06-09,0.19,0.0
1989-09-11,0.19,0.0
1989-12-11,0.19,0.0
1990-03-09,0.19,0.0
1990-06-11,0.19,0.0
1990-09-10,0.19,0.0
1990-12-10,0.19,0.0
1991-03-11,0.0475,0.0
1991-06-10,0.0475,0.0
1991-09-10,0.0475,0.0
1991-12-10,0.0475,0.0
1992-03-10,0.05,0.0
1992-06-09,0.05,0.0
1992-09-09,0.0625,0.0
1992-12-09,0.0625,0.0
1993-03-09,0.0625,0.0
1993-06-09,0.0625,0.0
1993-09-09,0.0625,0.0
1993-12-09,0.0625,0.0
1994-03-09,0.0625,0.0
1994-06-09,0.0675,0.0
1994-09-09,0.0675,0.0
1994-12-09,0.0675,0.0
1995-03-09,0.075,0.0
1995-06-13,0.075,0.0
1995-09-13,0.075,0.0
1995-12-13,0.0825,0.0
1996-03-13,0.0825,0.0
1996-06-12,0.0825,0.0
1996-09-12,0.09,0.0
1996-12-12,0.09,0.0
1997-03-12,0.045,0.0
1997-03-13,0.0,2.0
1997-06-12,0.09,0.0
1997-09-11,0.1,0.0
1997-12-11,0.1,0.0
1998-03-12,0.1,0.0
1998-06-11,0.1,0.0
1998-09-11,0.115,0.0
1998-12-11,0.115,0.0
1999-03-11,0.115,0.0
1999-06-11,0.115,0.0
1999-09-13,0.125,0.0
1999-12-13,0.125,0.0
2000-03-13,0.125,0.0
2000-06-13,0.125,0.0
2000-09-13,0.135,0.0
2000-12-13,0.135,0.0
2001-03-13,0.135,0.0
2001-06-13,0.135,0.0
2001-09-12,0.27,0.0
2001-09-17,0.135,0.0
2001-12-12,0.135,0.0
2002-03-13,0.135,0.0
2002-06-12,0.135,0.0
2002-09-12,0.145,0.0
2002-12-12,0.145,0.0
2003-03-12,0.145,0.0
2003-06-12,0.145,0.0
2003-09-11,0.16,0.0
2003-12-11,0.16,0.0
2004-03-11,0.16,0.0
2004-04-13,0.0,2.0
2004-06-14,0.16,0.0
2004-09-13,0.18,0.0
2004-12-13,0.18,0.0
2005-03-11,0.18,0.0
2005-06-13,0.18,0.0
2005-09-13,0.19,0.0
2005-12-13,0.19,0.0
2006-03-13,0.19,0.0
2006-06-13,0.19,0.0
2006-09-13,0.2,0.0
2006-12-13,0.2,0.0
2007-03-13,0.2,0.0
2007-06-13,0.2,0.0
2007-09-12,0.21,0.0
2007-12-12,0.21,0.0
2008-03-12,0.21,0.0
2008-06-12,0.21,0.0
2008-09-11,0.22,0.0
2008-12-11,0.22,0.0
2009-03-12,0.22,0.0
2009-06-11,0.22,0.0
2009-09-11,0.22,0.0
2009-12-11,0.22,0.0
2010-03-11,0.22,0.0
2010-06-11,0.24,0.0
2010-09-13,0.24,0.0
2010-12-13,0.24,0.0
2011-03-11,0.24,0.0
2011-06-13,0.24,0.0
2011-09-13,0.26,0.0
2011-12-13,0.26,0.0
2012-03-13,0.26,0.0
2012-06-13,0.26,0.0
2012-09-12,0.27,0.0
2012-12-12,0.27,0.0
2013-03-13,0.27,0.0
2013-06-12,0.27,0.0
2013-09-12,0.28,0.0
2013-12-12,0.28,0.0
2014-03-12,0.28,0.0
2014-06-12,0.28,0.0
2014-09-11,0.3,0.0
2014-12-11,0.3,0.0
2015-03-12,0.3,0.0
2015-06-11,0.3,0.0
2015-09-11,0.31,0.0
2015-12-11,0.31,0.0
2016-03-11,0.31,0.0
2016-06-13,0.31,0.0
2016-08-10,0.5,0.0
2016-09-13,0.32,0.0
2016-12-13,0.32,0.0
2017-03-13,0.32,0.0
2017-06-13,0.32,0.0
2017-09-14,0.34,0.0
2017-12-14,0.34,0.0
2018-03-14,0.34,0.0
2018-06-14,0.34,0.0
2018-09-13,0.38,0.0
2018-12-13,0.38,0.0
2019-03-14,0.38,0.0
2019-06-13,0.38,0.0
2019-09-13,0.41,0.0
2019-12-12,0.41,0.0
2020-03-13,0.41,0.0
2020-06-12,0.41,0.0
2020-09-14,0.42,0.0
2020-12-11,0.42,0.0
2021-03-12,0.42,0.0
2021-06-14,0.42,0.0
2021-09-14,0.43,0.0
2021-12-14,0.43,0.0
