Date,Dividends,Stock Splits
1982-10-07,0.0,1.5
1986-05-19,1.24941,0.0
1990-09-20,0.0,5.0
1992-05-08,0.01953,0.0
1993-05-10,0.01984,0.0
1994-05-10,0.01875,0.0
1995-05-09,0.025,0.0
1995-06-16,0.0,4.0
1996-05-09,0.03438,0.0
1997-04-28,0.04375,0.0
1998-03-31,0.05938,0.0
1998-05-22,0.0,2.0
1998-06-01,0.0,1.0
1999-03-24,0.065,0.0
2000-03-24,0.0625,0.0
2000-04-03,0.28875,0.0
2000-05-08,0.0,4.0
2001-03-29,0.25,0.0
2002-08-09,0.05,0.0
2002-10-23,0.0,0.1
2005-04-07,0.179,0.0
2006-04-11,0.29,0.0
2007-04-12,0.3575,0.0
2008-04-10,0.4085,0.0
2008-06-10,0.0,2.0
2009-04-23,0.221,0.0
2010-04-14,0.193,0.0
2011-04-14,0.348,0.0
2012-05-04,0.377879,0.0
2013-04-10,0.433,0.0
2014-04-14,0.462,0.0
2015-04-14,0.394328,0.0
2015-04-15,0.394,0.0
2016-04-13,0.429456,0.0
2016-04-14,0.429,0.0
2017-03-30,0.112,0.0
2018-04-02,0.126,0.0
2019-03-28,0.109,0.0
2020-04-01,0.078,0.0
2020-10-01,0.085,0.0
2021-03-31,0.121,0.0
