Date,Dividends
2001-03-21,0.30475
2001-07-06,1.36124
2001-08-10,0.01825
2002-03-20,0.226
2002-11-07,0.055
2003-03-25,0.10575
2003-11-21,0.25475
2004-03-25,0.1855
2004-09-28,0.2615
2005-04-01,1.092
2005-07-01,0.209
2006-01-03,0.21075
2006-04-04,0.27375
2006-11-01,0.4675
2007-01-03,0.22575
2007-04-03,0.1675
2007-08-20,0.276
2007-10-05,0.292
2008-01-14,0.183
2008-04-07,0.1155
2008-12-29,0.799
2009-04-09,0.287
2009-07-06,0.342
2009-10-01,0.224
2009-12-23,0.223
2010-04-23,0.275
2010-05-24,0.22
2010-08-02,0.227
2010-11-03,0.162
2010-12-22,0.239
2011-03-22,0.188
2011-05-04,0.153
2011-05-12,0.252
2011-08-04,0.256
2011-11-14,0.235
2012-01-03,0.215
2012-03-20,0.136
2012-05-14,0.209
2013-04-30,0.27
2014-04-03,0.444
2018-05-22,0.028
2018-08-14,0.027
2018-11-23,0.053
2018-12-28,0.026
2019-05-22,0.051
2019-08-13,0.103026
2019-11-12,0.099
2020-04-28,0.089694
2020-07-23,0.093784
2021-04-15,0.292861
2021-08-17,0.62149
2021-12-02,1.17334
