Date,Dividends
2012-06-19,0.06
2012-09-11,0.06
2012-12-11,0.06
2013-03-12,0.06
2013-06-11,0.06
2013-09-10,0.06
2013-12-10,0.06
2014-03-11,0.06
2014-06-10,0.06
2014-09-09,0.06
2014-12-09,0.06
2015-03-10,0.06
2015-06-09,0.06
2015-10-06,0.06
2015-12-14,0.06
2016-03-24,0.06
2016-06-10,0.06
2016-09-26,0.06
2016-12-02,0.06
2017-03-31,0.06
2017-06-30,0.06
2017-10-06,0.06
2017-10-09,0.06
2017-12-26,0.06
2018-03-28,0.06
2018-07-06,0.06
2018-10-01,0.06
2018-12-24,0.06
2019-04-02,0.06
2019-07-11,0.06
2019-10-09,0.06
2019-12-24,0.06
2020-04-02,0.06
2020-07-10,0.06
2020-10-08,0.06
2020-12-22,0.06
2021-04-08,0.06
2021-07-08,0.06
