Date,Dividends
2005-09-13,0.17
2005-12-13,0.18
2006-03-13,0.21
2006-06-13,0.25
2006-09-12,0.26
2006-12-12,0.27
2007-03-27,0.27
2007-06-12,0.27
2007-09-12,0.27
2007-12-11,0.27
2008-03-11,0.27
2008-06-11,0.27
2008-09-16,0.27
2008-12-19,0.2
2009-03-17,0.2
2009-06-09,0.2
2009-09-15,0.2
2009-12-15,0.2
2010-03-16,0.2
2010-06-15,0.2
2010-09-10,0.2
2010-12-07,0.2
2011-03-15,0.2
2011-06-14,0.2
2011-09-13,0.2
2011-12-06,0.2
2012-03-13,0.2
2012-06-12,0.2
2012-09-11,0.2
2012-11-20,0.2
2013-03-12,0.2
2013-06-11,0.2
2013-09-10,0.2
2013-11-29,0.21
2014-03-12,0.21
2014-06-10,0.21
2014-09-16,0.21
2014-12-02,0.21
2015-03-10,0.22
2015-06-09,0.22
2015-09-15,0.22
2015-12-08,0.22
2016-03-15,0.22
2016-06-14,0.23
2016-09-13,0.23
2016-12-06,0.23
2017-03-14,0.24
2017-06-13,0.24
2017-09-13,0.24
2017-12-06,0.24
2018-03-14,0.25
2018-06-13,0.25
2018-09-12,0.25
2018-12-12,0.25
2019-03-13,0.25
2019-06-12,0.25
2019-09-11,0.26
2019-12-11,0.26
2020-03-11,0.27
2020-06-17,0.27
2020-09-09,0.27
2020-12-09,0.27
2021-03-17,0.28
2021-06-16,0.28
2021-09-15,0.28
2021-12-08,0.28
