Date,Dividends
1993-07-27,0.0075
1993-10-26,0.0075
1994-02-08,0.0075
1994-05-18,0.001
1994-08-23,0.01
1994-11-21,0.01
1995-02-13,0.01
1995-02-17,0.04
1995-02-20,0.04
1995-05-15,0.04
1995-05-18,0.01
1995-08-30,0.0125
1995-11-29,0.05
1995-12-13,0.0125
1996-03-13,0.0125
1996-06-12,0.0125
1996-09-12,0.015
1996-12-19,0.015
1997-03-13,0.015
1997-06-12,0.0175
1997-09-10,0.0175
1997-12-18,0.0175
1998-03-13,0.0175
1998-06-12,0.02
1998-09-11,0.02
1998-12-16,0.02
1999-03-11,0.02
1999-06-11,0.0225
1999-09-13,0.0225
1999-12-16,0.0225
2000-03-13,0.0225
2000-06-12,0.025
2000-09-06,0.025
2000-12-14,0.025
2001-03-08,0.025
2001-06-07,0.03
2001-09-14,0.03
2001-09-17,0.03
2001-12-13,0.03
2002-03-08,0.03
2002-06-07,0.035
2002-09-16,0.035
2002-12-18,0.035
2003-03-10,0.035
2003-06-06,0.04
2003-09-15,0.04
2003-12-11,0.08
2004-03-09,0.08
2004-06-01,0.1
2004-09-13,0.1
2004-12-15,0.125
2005-03-04,0.125
2005-06-10,0.16
2005-09-29,0.16
2005-12-14,0.18
2006-03-07,0.18
2006-06-05,0.21
2006-09-29,0.21
2006-12-20,0.21
2007-03-01,0.21
2007-06-07,0.25
2007-09-27,0.3
2007-12-19,0.3
2008-03-03,0.3
2008-06-03,0.33
2008-09-29,0.33
2008-12-17,0.33
2009-03-03,0.1
2009-06-02,0.1
2009-09-24,0.1
2009-12-17,0.1
2010-02-19,0.1
2010-06-01,0.1
2010-09-29,0.1
2010-12-17,0.1
2011-02-17,0.1
2011-05-31,0.125
2011-09-28,0.125
2011-12-16,0.125
2012-02-16,0.155
2012-05-29,0.155
2012-09-26,0.155
2012-12-14,0.155
2013-02-14,0.21
2013-05-28,0.21
2013-09-13,0.21
2013-12-13,0.21
2014-02-14,0.275
2014-05-27,0.275
2014-09-12,0.275
2014-12-12,0.275
2015-02-13,0.31
2015-05-26,0.31
2015-09-11,0.31
2015-12-09,0.31
2016-02-12,0.35
2016-05-24,0.35
2016-09-09,0.35
2016-12-14,0.35
2017-02-13,0.365
2017-05-23,0.365
2017-09-11,0.365
2017-12-14,0.365
2018-02-13,0.37
2018-05-30,0.37
2018-09-17,0.37
2018-12-13,0.37
2019-03-13,0.375
2019-05-29,0.375
2019-09-16,0.375
2019-12-13,0.375
2020-03-04,0.38
2020-05-21,0.02
2020-09-09,0.02
2020-12-03,0.02
2021-03-01,0.15
2021-06-09,0.15
2021-09-09,0.15
2021-12-07,0.15
