Date,Dividends
1986-11-03,0.11167
1987-02-02,0.11167
1987-05-01,0.12
1987-08-03,0.12
1987-11-02,0.12
1988-02-02,0.12
1988-05-03,0.12833
1988-08-02,0.12833
1988-11-03,0.12833
1989-02-01,0.12833
1989-05-01,0.13833
1989-08-01,0.13833
1989-11-01,0.13833
1990-02-01,0.13833
1990-05-01,0.14667
1990-08-01,0.14667
1990-11-01,0.14667
1991-02-01,0.14667
1991-05-01,0.155
1991-08-01,0.155
1991-11-01,0.155
1992-02-03,0.155
1992-05-01,0.16233
1992-08-04,0.1625
1992-11-03,0.1625
1993-02-02,0.1625
1993-05-04,0.1685
1993-08-03,0.17
1993-11-02,0.17
1994-02-02,0.17
1994-05-03,0.176
1994-08-02,0.176
1994-11-02,0.176
1995-02-02,0.176
1995-05-02,0.184
1995-08-04,0.184
1995-11-06,0.184
1996-02-09,0.184
1996-05-09,0.19
1996-08-09,0.19
1996-11-08,0.19
1996-11-11,0.38
1997-02-11,0.19
1997-05-09,0.1925
1997-08-11,0.1925
1997-11-10,0.1925
1998-02-10,0.1925
1998-05-08,0.195
1998-08-10,0.195
1998-11-09,0.195
1999-02-10,0.195
1999-05-10,0.195
1999-08-10,0.195
1999-11-09,0.195
2000-02-10,0.195
2000-05-10,0.195
2000-08-10,0.195
2000-11-10,0.1
2001-02-12,0.1
2001-05-10,0.1
2001-08-10,0.1
2001-11-09,0.1
2002-02-12,0.1
2002-05-10,0.1
2002-08-12,0.1
2002-11-12,0.1
2003-02-12,0.1
2003-05-12,0.1
2003-08-12,0.1
2003-11-12,0.1
2004-02-11,0.1
2004-05-12,0.105
2004-08-11,0.105
2004-11-09,0.105
2005-02-09,0.11
2005-05-11,0.11
2005-08-10,0.11
2005-11-08,0.11
2006-02-10,0.115
2006-05-10,0.115
2006-08-10,0.115
2006-11-10,0.115
2007-02-12,0.125
2007-05-10,0.125
2007-08-10,0.125
2007-11-09,0.125
2008-02-12,0.135
2008-05-12,0.135
2008-08-12,0.135
2008-11-12,0.135
2009-02-11,0.169
2009-05-12,0.169
2009-08-12,0.169
2009-11-10,0.169
2010-02-10,0.2
2010-05-12,0.2
2010-08-11,0.2
2010-11-09,0.2
2011-02-10,0.26
2011-05-11,0.26
2011-08-10,0.26
2011-11-09,0.26
2012-02-10,0.3
2012-05-10,0.3
2012-08-10,0.3
2012-11-09,0.3
2013-02-12,0.34
2013-05-10,0.34
2013-08-12,0.383
2013-11-12,0.383
2014-02-12,0.39
2014-05-12,0.39
2014-08-12,0.39
2014-11-12,0.39
2015-02-11,0.422
2015-05-12,0.423
2015-06-24,0.206658
2015-06-30,0.207
2015-08-12,0.234
2015-11-10,0.458
2015-11-11,0.4575
2016-02-10,0.495
2016-05-11,0.495
2016-08-10,0.495
2016-11-09,0.495
2016-11-10,0.495
2017-02-10,0.52
2017-05-10,0.52
2017-08-10,0.52
2017-11-13,0.52
2018-02-13,0.553
2018-05-11,0.553
2018-08-13,0.553
2018-11-13,0.553
2019-02-13,0.59
2019-05-13,0.59
2019-08-13,0.59
2019-11-13,0.59
2020-02-13,0.633
2020-05-13,0.6325
2020-08-13,0.6325
2020-11-12,0.6325
2021-02-11,0.6775
2021-05-13,0.678
2021-08-12,0.6775
2021-11-10,0.6775
2022-02-11,0.7275
