Date,Dividends
1997-12-29,0.22
1998-03-27,0.32
1998-07-01,0.32
1998-10-01,0.27
1998-12-29,0.305
1999-03-30,0.33
1999-07-07,0.35
1999-10-07,0.35
1999-12-29,0.35
2000-04-03,0.35
2000-06-29,0.3
2000-10-05,0.25
2000-12-27,0.25
2001-04-03,0.3
2001-07-02,0.4
2001-10-03,0.45
2001-12-27,0.6
2002-04-03,0.63
2002-07-01,0.68
2002-10-01,0.68
2002-12-27,0.68
2003-03-27,0.6
2003-06-30,0.6
2003-10-01,0.28
2003-12-24,0.47
2004-03-29,0.5
2004-06-30,0.48
2004-09-28,0.5
2004-12-29,0.5
2005-03-30,0.45
2005-06-28,0.36
2005-09-26,0.13
2005-12-28,0.1
2006-03-29,0.11
2006-06-28,0.13
2006-09-27,0.14
2006-12-27,0.19
2007-03-29,0.2
2007-06-28,0.24
2007-09-27,0.26
2007-12-27,0.34
2008-03-26,0.48
2008-06-25,0.55
2008-09-16,0.55
2008-12-26,0.5
2009-03-26,0.5
2009-06-25,0.6
2009-09-29,0.69
2009-12-24,0.75
2010-03-30,0.65
2010-06-25,0.68
2010-09-30,0.68
2010-12-23,0.64
2011-03-29,0.62
2011-06-28,0.65
2011-09-28,0.6
2011-12-27,0.57
2012-03-28,0.55
2012-06-27,0.55
2012-09-27,0.5
2012-12-26,0.45
2013-03-27,0.45
2013-06-27,0.4
2013-09-27,0.35
2013-12-27,0.3
2014-03-28,0.3
2014-06-27,0.3
2014-09-29,0.3
2014-12-29,0.3
2015-03-27,0.3
2015-06-26,0.3
2015-09-28,0.3
2015-12-29,0.3
2016-03-29,0.3
2016-06-28,0.3
2016-07-07,0.036
2016-09-28,0.264
2016-12-28,0.3
2017-03-29,0.3
2017-06-28,0.3
2017-09-28,0.3
2017-12-28,0.3
2018-03-28,0.3
2018-06-28,0.3
2018-09-05,0.222
2018-09-27,0.078
2018-12-28,0.3
2019-03-28,0.3
2019-06-27,0.25
2019-09-27,0.25
2019-12-30,0.25
2020-03-30,0.25
2020-06-29,0.22
2020-09-29,0.22
2020-12-30,0.22
2021-03-30,0.22
2021-06-29,0.22
2021-09-29,0.22
2021-12-30,0.22
