Date,Dividends
2002-10-10,0.078
2002-11-13,0.078
2002-12-11,0.183
2003-01-13,0.078
2003-02-12,0.078
2003-03-12,0.078
2003-04-11,0.078
2003-05-13,0.078
2003-06-11,0.077
2003-07-11,0.078
2003-08-13,0.078
2003-09-11,0.078
2003-10-10,0.078
2003-11-12,0.078
2003-12-11,0.149
2004-01-13,0.078
2004-02-11,0.078
2004-03-11,0.078
2004-04-13,0.078
2004-05-12,0.078
2004-06-14,0.078
2004-07-13,0.078
2004-08-11,0.078
2004-09-13,0.078
2004-10-13,0.078
2004-11-10,0.078
2004-12-13,0.197
2005-01-12,0.078
2005-02-11,0.078
2005-03-11,0.075
2005-04-13,0.075
2005-05-11,0.075
2005-06-13,0.071
2005-07-13,0.071
2005-08-11,0.071
2005-09-13,0.071
2005-10-12,0.071
2005-11-10,0.071
2005-12-13,0.071
2006-01-11,0.071
2006-02-13,0.071
2006-03-13,0.071
2006-04-11,0.071
2006-05-11,0.071
2006-06-13,0.067
2006-07-12,0.067
2006-08-11,0.067
2006-09-13,0.064
2006-10-11,0.064
2006-11-13,0.064
2006-12-13,0.1
2007-01-10,0.064
2007-02-13,0.064
2007-03-13,0.064
2007-04-11,0.064
2007-05-11,0.064
2007-06-13,0.061
2007-07-11,0.061
2007-08-13,0.061
2007-09-12,0.061
2007-10-11,0.058
2007-11-13,0.058
2007-12-12,0.058
2008-01-11,0.058
2008-02-13,0.058
2008-03-12,0.058
2008-04-11,0.058
2008-05-13,0.058
2008-06-11,0.058
2008-07-11,0.058
2008-08-13,0.058
2008-09-11,0.06
2008-10-10,0.06
2008-11-12,0.06
2008-12-11,0.06
2009-01-13,0.06
2009-02-11,0.06
2009-03-11,0.06
2009-04-13,0.06
2009-05-13,0.065
2009-06-11,0.065
2009-07-13,0.065
2009-08-12,0.065
2009-09-11,0.07
2009-10-13,0.07
2009-11-10,0.07
2009-12-11,0.111
2010-01-13,0.07
2010-02-10,0.07
2010-03-11,0.07
2010-04-13,0.07
2010-05-12,0.07
2010-06-11,0.07
2010-07-13,0.07
2010-08-11,0.07
2010-09-13,0.07
2010-10-13,0.07
2010-11-10,0.07
2010-12-13,0.073
2011-01-12,0.07
2011-02-11,0.07
2011-03-11,0.07
2011-04-13,0.07
2011-05-11,0.07
2011-06-13,0.07
2011-07-13,0.07
2011-08-11,0.07
2011-09-13,0.075
2011-10-12,0.075
2011-11-10,0.075
2011-12-13,0.116
2012-01-11,0.075
2012-02-13,0.075
2012-03-13,0.075
2012-04-11,0.075
2012-05-11,0.075
2012-06-13,0.075
2012-07-11,0.075
2012-08-13,0.075
2012-09-12,0.075
2012-10-11,0.075
2012-11-13,0.075
2012-12-12,0.007
2013-01-11,0.069
2013-02-13,0.069
2013-03-13,0.061
2013-04-11,0.061
2013-05-13,0.061
2013-06-12,0.054
2013-07-11,0.054
2013-08-13,0.054
2013-09-11,0.055
2013-10-10,0.054
2013-11-13,0.054
2013-12-11,0.122
2014-01-13,0.058
2014-02-12,0.058
2014-03-12,0.058
2014-04-11,0.058
2014-05-13,0.058
2014-06-11,0.058
2014-07-11,0.061
2014-08-13,0.061
2014-09-11,0.061
2014-10-10,0.061
2014-11-12,0.061
2014-12-11,0.171
2015-01-13,0.061
2015-02-11,0.061
2015-03-11,0.061
2015-04-13,0.061
2015-05-13,0.061
2015-06-11,0.063
2015-07-13,0.063
2015-08-12,0.063
2015-09-11,0.063
2015-10-13,0.063
2015-11-10,0.063
2015-12-11,0.0143
2016-01-13,0.0645
2016-02-10,0.0645
2016-03-11,0.0645
2016-04-06,0.0504
2016-04-19,0.0141
2016-05-11,0.076
2016-06-13,0.076
2016-07-13,0.076
2016-08-11,0.076
2016-09-13,0.076
2016-10-12,0.076
2016-11-10,0.076
2016-12-13,0.0725
2017-01-11,0.0725
2017-02-13,0.0725
2017-03-13,0.073
2017-04-11,0.0725
2017-05-11,0.0725
2017-06-13,0.0725
2017-07-12,0.0725
2017-08-11,0.0725
2017-09-14,0.0725
2017-10-12,0.0725
2017-11-14,0.0725
2017-12-14,0.078
2018-01-11,0.073
2018-02-14,0.073
2018-03-14,0.073
2018-04-12,0.073
2018-05-14,0.073
2018-06-14,0.066
2018-07-12,0.066
2018-08-14,0.066
2018-09-13,0.066
2018-10-12,0.066
2018-11-14,0.066
2018-12-13,0.093
2019-01-14,0.066
2019-02-14,0.066
2019-03-14,0.066
2019-04-12,0.066
2019-05-14,0.066
2019-06-13,0.066
2019-07-12,0.066
2019-08-14,0.066
2019-09-12,0.066
2019-10-11,0.066
2019-11-14,0.017
2019-11-25,0.054
2019-12-12,0.097
2020-01-14,0.066
2020-02-13,0.066
2020-03-12,0.066
2020-04-14,0.066
2020-05-14,0.0655
2020-06-12,0.0655
2020-07-14,0.0655
2020-08-13,0.0655
2020-09-14,0.0655
2020-10-14,0.0675
2020-11-12,0.0675
2020-12-14,0.155
2021-01-14,0.068
2021-02-11,0.0675
2021-03-12,0.0675
2021-04-14,0.0675
2021-05-13,0.068
2021-06-14,0.0675
2021-07-14,0.068
2021-08-12,0.0675
2021-09-14,0.0675
2021-10-14,0.0675
2021-11-12,0.0675
2021-12-14,0.0675
2022-01-13,0.0675
2022-02-14,0.0675
