Date,Dividends
2012-06-14,0.05
2012-09-14,0.05
2012-12-13,0.06
2013-03-14,0.08
2013-06-14,0.1
2013-09-16,0.1
2013-12-16,0.1
2014-03-14,0.1
2014-06-16,0.12
2014-09-16,0.12
2014-12-16,0.12
2015-03-16,0.12
2015-06-16,0.15
2015-09-16,0.15
2015-12-16,0.15
2016-03-16,0.15
2016-06-15,0.15
2016-09-15,0.15
2016-12-15,0.15
2017-03-15,0.15
2017-06-14,0.17
2017-09-15,0.17
2017-12-15,0.17
2018-03-16,0.17
2018-06-15,0.17
2018-09-14,0.17
2018-12-14,0.17
2019-03-15,0.17
2019-06-17,0.17
2019-09-17,0.17
2019-12-17,0.17
2020-03-17,0.17
2020-06-17,0.04
2020-09-17,0.04
2020-12-17,0.06
2021-03-17,0.06
2021-06-17,0.08
