Date,Dividends
1996-08-26,0.015
1997-08-25,0.501
1997-12-23,0.01
1998-08-25,0.371
1998-12-22,0.049
1999-08-25,0.088
2000-08-24,0.423
2000-12-20,0.073
2001-08-24,0.111
2001-12-24,0.07
2002-12-23,0.522
2003-12-16,0.52
2003-12-22,0.208
2004-12-23,0.277
2005-12-23,0.476
2006-12-20,0.455
2007-12-20,1.046
2008-06-25,0.55
2008-12-23,0.423
2009-06-23,0.189
2009-12-22,0.515
2010-06-23,0.237
2010-12-21,0.284
2010-12-29,0.019
2011-06-22,0.431
2011-12-20,0.347
2012-06-21,0.57
2012-12-18,0.174
2013-06-27,0.458
2013-12-18,0.737
2013-12-27,0.136
2014-06-25,0.22
2014-12-17,0.512
2015-06-25,0.416
2015-12-21,0.417
2015-12-29,0.331
2016-06-22,0.579
2016-12-21,0.199
2017-06-20,0.583
2017-12-19,0.509
2018-06-19,0.574
2018-12-18,0.372
2019-06-17,0.882
2019-12-16,0.434
2020-06-15,0.124
2020-12-14,0.347
2020-12-30,0.144
2021-06-10,0.387
