Date,Dividends
1986-11-25,0.02999
1987-02-26,0.02999
1987-04-06,0.332
1987-05-27,0.02999
1987-07-06,0.332
1987-09-01,0.02999
1987-10-05,0.332
1987-12-10,0.02999
1988-01-04,0.332
1988-02-24,0.02999
1988-04-04,0.332
1988-05-25,0.03539
1988-07-01,0.332
1988-08-26,0.03539
1988-10-03,0.332
1988-10-31,0.03539
1989-01-31,0.0581
1989-05-02,0.0581
1989-08-01,0.0581
1989-10-31,0.0664
1990-01-30,0.0664
1990-05-01,0.0664
1990-07-31,0.083
1990-10-30,0.083
1991-01-29,0.083
1991-04-30,0.083
1991-07-30,0.10375
1991-10-29,0.10375
1992-01-28,0.10375
1992-04-28,0.166
1992-07-28,0.166
1992-11-03,0.166
1993-02-02,0.1992
1993-05-04,0.1992
1993-08-03,0.20792
1993-11-02,0.2075
1994-02-01,0.2075
1994-05-03,0.249
1994-08-02,0.249
1994-11-01,0.249
1995-01-31,0.332
1995-05-02,0.332
1995-08-01,0.20034
1995-08-03,0.332
1995-11-02,0.33333
1996-02-01,0.375
1996-05-02,0.375
1996-08-01,0.375
1996-10-31,0.375
1997-01-30,0.5
1997-05-01,0.5
1997-07-31,0.5
1997-10-30,0.5
1998-02-05,0.625
1998-04-30,0.625
1998-07-30,0.625
1998-10-29,0.9
1999-01-28,0.9
1999-04-29,1.05
1999-07-29,1.05
1999-10-28,1.05
2000-02-03,1.2
2000-04-27,1.2
2000-08-03,1.395
2000-11-02,1.4
2001-02-01,1.4
2001-05-03,1.4
2001-08-02,1.6
2001-11-01,1.6
2002-01-31,1.6
2002-05-02,1.8
2002-08-01,1.8
2002-08-21,24.15
2002-10-31,1.8
2003-01-30,2.0
2003-05-01,2.0
2003-07-31,3.5
2003-10-30,3.5
2004-01-29,4.0
2004-04-29,4.0
2004-07-29,4.0
2004-10-28,4.0
2005-02-03,4.4
2005-04-28,4.4
2005-07-28,4.4
2005-11-03,4.4
2006-02-02,4.9
2006-04-27,4.9
2006-08-03,4.9
2006-11-02,4.9
2007-02-01,5.4
2007-05-03,5.4
2007-08-02,5.4
2007-11-01,5.4
2008-01-31,3.2
2008-05-01,3.2
2008-07-31,3.2
2008-10-30,1.6
2009-01-29,0.1
2011-05-25,0.01
2011-07-28,0.01
2011-11-03,0.01
2012-02-02,0.01
2012-05-03,0.01
2012-08-02,0.01
2012-11-01,0.01
2013-01-31,0.01
2013-05-02,0.01
2013-08-01,0.01
2013-10-31,0.01
2014-01-30,0.01
2014-05-01,0.01
2014-07-31,0.01
2014-10-30,0.01
2015-01-29,0.01
2015-05-07,0.05
2015-07-30,0.05
2015-10-29,0.05
2016-01-28,0.05
2016-04-28,0.05
2016-07-28,0.16
2016-11-03,0.16
2017-02-02,0.16
2017-04-27,0.16
2017-08-03,0.32
2017-11-03,0.32
2018-02-02,0.32
2018-05-04,0.32
2018-08-03,0.45
2018-11-02,0.45
2019-02-01,0.45
2019-05-03,0.45
2019-08-02,0.51
2019-11-01,0.51
2020-01-31,0.51
2020-05-01,0.51
2020-07-31,0.51
2020-10-30,0.51
2021-01-29,0.51
2021-04-30,0.51
2021-07-30,0.51
2021-10-29,0.51
2022-02-04,0.51
