Date,Dividends
1993-05-06,0.018
1993-12-20,0.022
1994-05-02,0.1781
1994-12-22,0.036
1995-05-05,0.0448
1995-12-27,0.042
1996-05-07,0.0328
1997-01-16,0.028
1997-05-02,0.028
1998-01-02,0.038
1998-04-28,0.042
1999-01-08,0.0432
1999-05-04,0.126
1999-12-31,0.0936
2000-05-05,0.1468
2001-01-08,0.042
2001-05-04,0.3168
2002-01-02,0.0924
2002-04-30,0.1008
2002-12-31,0.0624
2003-03-05,0.4712
2003-04-30,0.026
2003-08-20,0.6624
2003-10-01,0.3316
2003-12-30,0.1104
2004-04-27,0.1684
2004-12-31,0.0932
2005-04-20,0.214
2005-12-28,0.1176
2006-04-19,0.2564
2006-12-27,0.1332
2007-04-18,0.29
2008-01-02,0.1892
2008-04-18,0.4712
2008-12-30,0.1396
2009-04-20,0.358
2009-12-29,0.2384
2010-04-20,0.5364
2010-12-29,0.2472
2011-04-15,0.4848
2011-12-28,0.24
2012-04-11,0.5364
2013-01-09,0.264
2013-04-10,0.494
2013-12-31,0.238
2014-04-09,0.37
2014-12-30,0.205
2015-04-15,0.319
2015-12-29,0.185
2016-04-13,0.281
2016-12-28,0.204
2017-04-18,0.33
2017-12-28,0.214
2018-04-19,0.361
2018-12-27,0.416
2019-01-02,0.256964
2019-04-22,1.067
2019-12-18,0.19
2020-04-16,0.435
2020-12-22,0.148
2021-04-15,0.37882
2021-10-21,0.491098
2021-11-24,1.10245
