Date,Firm,To Grade,From Grade,Action
2012-09-25 05:57:00,PiperJaffray,Underweight,Neutral,down
2013-07-08 08:46:49,CLSA,Buy,,init
2013-09-11 07:11:29,PiperJaffray,Neutral,Underweight,up
2013-09-12 09:18:48,Baird,Neutral,Outperform,down
2013-12-18 16:00:00,BB&T Capital,Buy,,init
2015-03-18 07:22:09,Northcoast Research,Buy,,init
2015-04-23 06:37:59,Oppenheimer,Perform,Outperform,down
2015-08-04 07:32:58,Canaccord Genuity,Hold,Buy,down
2015-09-17 17:04:39,Nomura,Buy,,init
2015-10-12 16:32:15,Cowen & Co.,Outperform,,init
2015-11-03 07:27:33,CLSA,Outperform,Buy,down
2015-11-03 09:15:35,Canaccord Genuity,Hold,,main
2015-11-11 09:19:44,FBR Capital,Market Perform,,init
2015-11-18 06:19:12,Canaccord Genuity,Buy,Hold,up
2016-01-22 06:56:18,Raymond James,Outperform,,init
2016-03-11 07:33:42,Raymond James,Market Perform,Outperform,down
2016-03-24 06:30:15,CSLA,Underperform,Outperform,down
2016-04-01 07:39:42,Canaccord Genuity,Buy,,main
2016-05-11 08:54:42,FBR Capital,Market Perform,,init
2016-06-06 06:57:37,Bernstein,Market Perform,,init
2016-06-14 06:40:29,Canaccord Genuity,Hold,Buy,down
2016-08-02 13:53:00,CLSA,Underperform,,main
2016-08-02 14:08:59,Canaccord Genuity,Hold,,main
2016-10-25 13:31:17,Stephens & Co.,Equal-Weight,,init
2016-11-07 12:47:46,CLSA,Outperform,Underperform,up
2016-12-08 11:12:30,Deutsche Bank,Buy,,init
2017-01-26 15:06:02,JP Morgan,Neutral,,init
2017-04-03 12:49:33,Goldman Sachs,Buy,,init
2017-07-11 12:54:51,Wolfe Research,Peer Perform,,init
2017-10-31 14:13:16,Baird,Neutral,,main
2017-10-31 19:34:39,Canaccord Genuity,Hold,,main
2017-12-08 17:09:52,Daiwa Capital,Buy,Outperform,up
2018-02-16 17:47:59,Canaccord Genuity,Hold,Hold,main
2018-04-03 14:12:45,JP Morgan,Neutral,Underweight,up
2018-04-10 12:37:26,Goldman Sachs,Neutral,Buy,down
2018-05-01 13:26:55,JP Morgan,Neutral,Neutral,main
2018-05-01 13:42:09,Baird,Neutral,Neutral,main
2018-05-01 16:44:37,Raymond James,Outperform,Market Perform,up
2018-05-07 13:26:48,JP Morgan,Underweight,Neutral,down
2018-08-01 11:47:27,Bernstein,Outperform,Market Perform,up
2018-08-21 15:07:38,Morgan Stanley,Equal-Weight,,init
2018-08-24 12:20:28,Northcoast Research,Neutral,Buy,down
2018-10-02 10:33:43,DA Davidson,Neutral,,init
2018-10-11 13:12:59,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-10-30 15:47:12,Morgan Stanley,Equal-Weight,Equal-Weight,main
2019-04-17 12:14:55,Gordon Haskett,Hold,,init
2019-04-30 10:50:50,Bernstein,Market Perform,Outperform,down
2019-04-30 11:46:15,Needham,Hold,Buy,down
2019-07-10 13:08:36,Morgan Stanley,Equal-Weight,,main
2019-07-16 10:32:45,Goldman Sachs,Sell,Neutral,down
2019-09-23 12:10:13,Baird,Neutral,,main
2019-09-23 12:27:02,DA Davidson,Neutral,,main
2019-12-12 12:42:13,UBS,Neutral,,init
2020-02-19 13:52:57,Morgan Stanley,Equal-Weight,,main
2020-03-17 13:32:27,Morgan Stanley,Equal-Weight,,main
2020-03-23 10:33:26,Morgan Stanley,Underweight,Equal-Weight,down
2020-04-17 14:35:50,JP Morgan,Underweight,,main
2020-04-28 11:33:17,Raymond James,Outperform,,main
2020-04-28 13:07:16,Morgan Stanley,Underweight,,main
2020-05-26 10:24:53,HSBC,Hold,,init
2020-06-02 11:58:10,Baird,Underperform,Neutral,down
2020-07-31 12:08:47,Morgan Stanley,Underweight,,main
2020-09-04 10:15:48,Daiwa Capital,Neutral,Outperform,down
2020-10-16 14:01:59,Stephens & Co.,Overweight,,init
2020-10-29 11:50:14,Morgan Stanley,Underweight,,main
2021-01-14 12:22:03,HSBC,Buy,Hold,up
2021-01-20 13:59:38,Morgan Stanley,Underweight,,main
2021-02-12 12:27:44,Raymond James,Outperform,,main
2021-02-12 13:06:52,Morgan Stanley,Underweight,,main
2021-02-12 16:19:49,Cowen & Co.,Outperform,,main
2021-05-07 11:58:14,Morgan Stanley,Underweight,,main
2021-05-19 11:19:24,Raymond James,Strong Buy,Outperform,up
2021-10-07 12:59:11,Morgan Stanley,Underweight,,main
2021-11-08 09:00:27,Raymond James,Strong Buy,,main
2021-11-08 12:28:29,Needham,Buy,Hold,up
2021-11-08 15:17:22,Northcoast Research,Buy,Neutral,up
2021-11-12 10:35:43,Morgan Stanley,Equal-Weight,Underweight,up
2021-11-12 14:00:50,Cowen & Co.,Outperform,,main
2022-01-14 14:15:45,Morgan Stanley,Equal-Weight,,main
2022-01-25 13:11:20,Daiwa Capital,Outperform,Neutral,up
2022-02-18 09:45:49,JP Morgan,Neutral,Underweight,up
2022-02-18 14:07:06,Morgan Stanley,Equal-Weight,,main
