Date,Firm,To Grade,From Grade,Action
2015-10-27 06:20:07,JMP Securities,Market Outperform,,init
2015-10-27 06:24:52,JP Morgan,Overweight,,init
2015-10-27 07:15:13,Wedbush,Outperform,,init
2015-11-12 08:14:45,Evercore ISI Group,Buy,,init
2015-12-02 05:25:06,Deutsche Bank,Hold,,init
2016-01-19 05:34:38,Barclays,Underweight,,init
2016-02-24 11:36:34,Barclays,Underweight,,main
2016-07-29 10:40:54,Barclays,Underweight,,main
2016-07-29 11:34:40,Deutsche Bank,Hold,,main
2016-07-29 13:42:09,JMP Securities,Market Outperform,,main
2016-07-29 14:36:18,JP Morgan,Overweight,,main
2017-01-11 14:07:51,Wells Fargo,Market Perform,,down
2017-05-24 11:07:59,Wells Fargo,Outperform,Market Perform,up
2017-07-17 16:43:29,Deutsche Bank,Hold,,main
2017-09-07 12:05:49,Mizuho,Buy,,init
2018-02-23 14:12:21,Deutsche Bank,Hold,Hold,main
2018-04-19 11:16:28,Deutsche Bank,Buy,Hold,up
2018-04-27 14:43:57,Wedbush,Outperform,Outperform,main
2018-07-16 12:12:51,Evercore ISI Group,Outperform,,init
2018-07-26 10:26:19,Deutsche Bank,Hold,Buy,down
2018-07-27 12:21:08,JP Morgan,Overweight,Overweight,main
2018-07-27 14:31:18,Wedbush,Outperform,Outperform,main
2018-09-06 12:34:02,Wells Fargo,Outperform,Outperform,main
2018-09-19 11:03:05,Wells Fargo,Outperform,Outperform,main
2018-11-02 10:49:36,Wells Fargo,Market Perform,Outperform,down
2019-03-20 11:15:25,SunTrust Robinson Humphrey,Hold,,init
2019-06-28 11:07:20,Oppenheimer,Outperform,,init
2019-07-26 11:29:20,Wedbush,Neutral,Outperform,down
2019-07-26 11:45:23,JP Morgan,Neutral,Overweight,down
2019-07-26 11:56:29,Mizuho,Buy,,main
2019-07-29 10:44:01,SunTrust Robinson Humphrey,Buy,Hold,up
2020-01-02 12:24:33,Evercore ISI Group,In-Line,Outperform,down
2020-03-05 12:04:02,Wells Fargo,Overweight,Equal-Weight,up
2020-04-07 20:25:06,Wells Fargo,Overweight,,main
2020-04-08 09:29:40,Piper Sandler,Overweight,,init
2020-04-08 18:24:27,Mizuho,Buy,,main
2020-04-09 11:14:14,Evercore ISI Group,Underperform,In-Line,down
2020-05-01 11:57:49,Wedbush,Neutral,,main
2020-05-01 12:52:24,Oppenheimer,Perform,Outperform,down
2020-05-01 17:04:35,SunTrust Robinson Humphrey,Buy,,main
2020-09-17 11:38:56,Truist Securities,Hold,Buy,down
2020-09-18 12:13:34,Wells Fargo,Equal-Weight,Overweight,down
2020-09-23 14:25:04,Northland Capital Markets,Outperform,,init
2021-01-29 17:46:11,Truist Securities,Hold,,main
2021-03-01 16:29:34,Mizuho,Buy,,main
2021-04-14 11:51:45,Wedbush,Underperform,Neutral,down
2021-04-14 13:41:09,Mizuho,Buy,,main
2021-04-14 13:51:08,Northland Capital Markets,Outperform,,main
2021-04-19 13:06:22,Truist Securities,Hold,,main
2021-07-09 14:11:33,Piper Sandler,Overweight,,main
2021-07-30 11:18:08,Mizuho,Neutral,,main
2021-07-30 12:11:09,Wells Fargo,Equal-Weight,,main
2022-01-03 13:09:02,Evercore ISI Group,In-Line,Underperform,up
2022-01-11 12:01:22,Wells Fargo,Equal-Weight,,main
2022-01-20 12:22:25,Truist Securities,Buy,Hold,up
2022-02-02 13:31:49,Oppenheimer,Outperform,Perform,up
2022-02-08 09:42:32,Loop Capital,Buy,,init
